# Data on year and film name: https://en.wikipedia.org/wiki/List_of_films_based_on_DC_Comics_publications
Date	Film	Director(s)	Producer(s)	Production budget	Worldwide box office
July 30, 1966	Batman	Leslie Martinson	William Dozier	1,378,000	3,900,000
December 10, 1978	Superman	Richard Donner	Pierre Spengler	55,000,000	300,500,000
December 4, 1980	Superman II	Richard Lester	Pierre Spengler	54,000,000	190,400,000
February 19, 1982	Swamp Thing	Wes Craven	Benjamin Melniker, Michael Uslan	2,500,000	-
June 12, 1983	Superman III	Richard Lester	Pierre Spengler	39,000,000	80,200,000
July 19, 1984	Supergirl	Jeannot Szwarc	Timothy Burrill	35,000,000	14,300,000
July 24, 1987	Superman IV: The Quest for Peace	Sidney J. Furie	Menahem Golan, Yoram Globus	17,000,000	36,700,000
May 12, 1989	The Return of Swamp Thing	Jim Wynorski	Benjamin Melniker, Michael Uslan	3,000,000	274,928
June 19, 1989	Batman	Tim Burton	Jon Peters, Peter Guber	48,000,000	411,600,000
June 16, 1992	Batman Returns	Tim Burton	Denise Di Novi, Tim Burton	80,000,000	266,800,000
June 9, 1995	Batman Forever	Joel Schumacher	Tim Burton, Peter MacGregor-Scott	100,000,000	336,600,000
June 12, 1997	Batman & Robin	Joel Schumacher	Peter MacGregor-Scott	160,000,000	238,000,000
August 15, 1997	Steel	Kenneth Johnson	David Salzman, Quincy Jones, Joel Simon	16,000,000	1,700,000
July 19, 2004	Catwoman	Pitof	Denise Di Novi, Edward McDonnell	100,000,000	82,100,000
February 7, 2005	Constantine	Francis Lawrence	Lauren Donner, Benjamin Melniker, Michael Uslan, Erwin Stoff, Lorenzo di Bonaventura, Akiva Goldsman	100,000,000	230,900,000
May 31, 2005	Batman Begins	Christopher Nolan	Charles Roven, Emma Thomas, Larry Franco	150,000,000	373,700,000
June 21, 2006	Superman Returns	Bryan Singer	Jon Peters, Bryan Singer, Gilbert Adler	223,000,000	391,100,000
July 14, 2008	The Dark Knight	Christopher Nolan	Emma Thomas, Charles Roven, Christopher Nolan	185,000,000	1,006,000,000
February 23, 2009	Watchmen	Zack Snyder	Lawrence Gordon, Lloyd Levin, Deborah Snyder	138,000,000	185,300,000
June 18, 2010	Jonah Hex	Jimmy Hayward	Akiva Goldsman, Andrew Lazar	47,000,000	11,000,000
June 15, 2011	Green Lantern	Martin Campbell	Donald De Line, Greg Berlanti, Geoff Johns	200,000,000	219,900,000
July 16, 2012	The Dark Knight Rises	Christopher Nolan	Emma Thomas, Christopher Nolan, Charles Roven	300,000,000	1,081,000,000
June 10, 2013	Man of Steel	Zack Snyder	Charles Roven, Christopher Nolan, Emma Thomas, Deborah Snyder	258,000,000	668,000,000
March 19, 2016	Batman v Superman: Dawn of Justice	Zack Snyder	Charles Roven, Deborah Snyder	300,000,000	873,600,000
August 1, 2016	Suicide Squad	David Ayer	Charles Roven, Richard Suckle	175,000,000	746,800,000
May 25, 2017	Wonder Woman	Patty Jenkins	Charles Roven, Deborah Snyder, Zack Snyder, Richard Suckle	150,000,000	822,800,000
November 13, 2017	Justice League	Zack Snyder	Charles Roven, Deborah Snyder, Jon Berg, Geoff Johns	300,000,000	657,900,000
November 26, 2018	Aquaman	James Wan	Peter Safran, Rob Cowan	200,000,000	1,148,000,000
March 28, 2019	Shazam!	David Sandberg	Peter Safran	100,000,000	366,000,000
August 31, 2019	Joker	Todd Phillips	Todd Phillips, Bradley Cooper, Emma Koskoff	70,000,000	1,074,000,000
January 25, 2020	Birds of Prey	Cathy Yan	Margot Robbie, Bryan Unkeless, Sue Kroll	100,000,000	205,300,000
December 15, 2020	Wonder Woman 1984	Patty Jenkins	Charles Roven, Deborah Snyder, Zack Snyder, Patty Jenkins, Gal Gadot, Stephen Jones	200,000,000	169,600,000
July 30, 2021	The Suicide Squad	James Gunn	Charles Roven, Peter Safran	185,000,000	168,700,000
March 1, 2022	The Batman	Matt Reeves	Dylan Clark, Matt Reeves	200,000,000	770,800,000
